Task,Category,Priority,Due Date,Notes
"Read Genesis 1:1-2:3 (Feb 28)","Bible Reading","normal","2026-02-28","Day 1 of reading plan"
"Read Genesis 2:15-3:24 (Mar 1)","Bible Reading","normal","2026-03-01","Day 2 of reading plan"
"Read Genesis 4:1-16 (Mar 2)","Bible Reading","normal","2026-03-02","Day 3 of reading plan"
"Read Genesis 6:9-22 (Mar 3)","Bible Reading","normal","2026-03-03","Day 4 of reading plan"
"Read Genesis 7:1-24 (Mar 4)","Bible Reading","normal","2026-03-04","Day 5 of reading plan"
"Read Genesis 8:1-22 (Mar 5)","Bible Reading","normal","2026-03-05","Day 6 of reading plan"
"Read Genesis 9:1-17 (Mar 6)","Bible Reading","normal","2026-03-06","Day 7 of reading plan"
"Read Genesis 11:1-9 (Mar 7)","Bible Reading","normal","2026-03-07","Day 8 of reading plan"
"Read Genesis 12:1-9; 17:1-8 (Mar 8)","Bible Reading","normal","2026-03-08","Day 9 of reading plan"
"Read Genesis 18:1-15 (Mar 9)","Bible Reading","normal","2026-03-09","Day 10 of reading plan"
"Read Genesis 19:15-29 (Mar 10)","Bible Reading","normal","2026-03-10","Day 11 of reading plan"
"Read Genesis 21:8-21 (Mar 11)","Bible Reading","normal","2026-03-11","Day 12 of reading plan"
"Read Genesis 22:1-19 (Mar 12)","Bible Reading","normal","2026-03-12","Day 13 of reading plan"
"Read Genesis 24:1-27 (Mar 13)","Bible Reading","normal","2026-03-13","Day 14 of reading plan"
"Read Genesis 24:28-67 (Mar 14)","Bible Reading","normal","2026-03-14","Day 15 of reading plan"
"Read Genesis 25:19-34 (Mar 15)","Bible Reading","normal","2026-03-15","Day 16 of reading plan"
"Read Genesis 27:1-40 (Mar 16)","Bible Reading","normal","2026-03-16","Day 17 of reading plan"
"Read Genesis 28:10-22 (Mar 17)","Bible Reading","normal","2026-03-17","Day 18 of reading plan"
"Read Genesis 29:14-30 (Mar 18)","Bible Reading","normal","2026-03-18","Day 19 of reading plan"
"Read Genesis 32:1-33:16 (Mar 19)","Bible Reading","normal","2026-03-19","Day 20 of reading plan"
"Read Genesis 37:1-36 (Mar 20)","Bible Reading","normal","2026-03-20","Day 21 of reading plan"
"Read Genesis 39:1-23 (Mar 21)","Bible Reading","normal","2026-03-21","Day 22 of reading plan"
"Read Genesis 40:1-23 (Mar 22)","Bible Reading","normal","2026-03-22","Day 23 of reading plan"
"Read Genesis 41:1-36 (Mar 23)","Bible Reading","normal","2026-03-23","Day 24 of reading plan"
"Read Genesis 41:37-57 (Mar 24)","Bible Reading","normal","2026-03-24","Day 25 of reading plan"
"Read Genesis 42:1-38 (Mar 25)","Bible Reading","normal","2026-03-25","Day 26 of reading plan"
"Read Genesis 43:1-34 (Mar 26)","Bible Reading","normal","2026-03-26","Day 27 of reading plan"
"Read Genesis 44:1-34 (Mar 27)","Bible Reading","normal","2026-03-27","Day 28 of reading plan"
"Read Genesis 45:1-28 (Mar 28)","Bible Reading","normal","2026-03-28","Day 29 of reading plan"
"Read Genesis 49:1-33 (Mar 29)","Bible Reading","normal","2026-03-29","Day 30 of reading plan"
"Read Exodus 1:8-2:10 (Mar 30)","Bible Reading","normal","2026-03-30","Day 31 of reading plan"
"Read Exodus 2:11-25 (Mar 31)","Bible Reading","normal","2026-03-31","Day 32 of reading plan"
"Read Exodus 3:1-22 (Apr 1)","Bible Reading","normal","2026-04-01","Day 33 of reading plan"
"Read Exodus 4:1-17 (Apr 2)","Bible Reading","normal","2026-04-02","Day 34 of reading plan"
"Read Exodus 5:1-23 (Apr 3)","Bible Reading","normal","2026-04-03","Day 35 of reading plan"
"Read Exodus 6:1-13 (Apr 4)","Bible Reading","normal","2026-04-04","Day 36 of reading plan"
"Read Exodus 7:1-14 (Apr 5)","Bible Reading","normal","2026-04-05","Day 37 of reading plan"
"Read Exodus 7:15-9:7 (Apr 6)","Bible Reading","normal","2026-04-06","Day 38 of reading plan"
"Read Exodus 9:8-10:29 (Apr 7)","Bible Reading","normal","2026-04-07","Day 39 of reading plan"
"Read Exodus 11:1-10; 12:29-36 (Apr 8)","Bible Reading","normal","2026-04-08","Day 40 of reading plan"
"Read Exodus 13:17-14:31 (Apr 9)","Bible Reading","normal","2026-04-09","Day 41 of reading plan"
"Read Exodus 15:22-27; 17:1-7 (Apr 10)","Bible Reading","normal","2026-04-10","Day 42 of reading plan"
"Read Exodus 16:1-36 (Apr 11)","Bible Reading","normal","2026-04-11","Day 43 of reading plan"
"Read Exodus 18:1-27 (Apr 12)","Bible Reading","normal","2026-04-12","Day 44 of reading plan"
"Read Exodus 19:1-25 (Apr 13)","Bible Reading","normal","2026-04-13","Day 45 of reading plan"
"Read Exodus 20:1-22 (Apr 14)","Bible Reading","normal","2026-04-14","Day 46 of reading plan"
"Read Exodus 32:1-29 (Apr 15)","Bible Reading","normal","2026-04-15","Day 47 of reading plan"
"Read Exodus 40:1-38 (Apr 16)","Bible Reading","normal","2026-04-16","Day 48 of reading plan"
"Read Numbers 12:1-16 (Apr 17)","Bible Reading","normal","2026-04-17","Day 49 of reading plan"
"Read Numbers 13:1-14:4 (Apr 18)","Bible Reading","normal","2026-04-18","Day 50 of reading plan"
"Read Numbers 14:5-45 (Apr 19)","Bible Reading","normal","2026-04-19","Day 51 of reading plan"
"Read Numbers 21:4-9 (Apr 20)","Bible Reading","normal","2026-04-20","Day 52 of reading plan"
"Read Numbers 22:5-38 (Apr 21)","Bible Reading","normal","2026-04-21","Day 53 of reading plan"
"Read Deuteronomy 29:1-29 (Apr 22)","Bible Reading","normal","2026-04-22","Day 54 of reading plan"
"Read Deuteronomy 30:1-20 (Apr 23)","Bible Reading","normal","2026-04-23","Day 55 of reading plan"
"Read Deuteronomy 31:1-8 (Apr 24)","Bible Reading","normal","2026-04-24","Day 56 of reading plan"
"Read Deuteronomy 34:1-12 (Apr 25)","Bible Reading","normal","2026-04-25","Day 57 of reading plan"
"Read Joshua 1:1-18 (Apr 26)","Bible Reading","normal","2026-04-26","Day 58 of reading plan"
"Read Joshua 2:1-24 (Apr 27)","Bible Reading","normal","2026-04-27","Day 59 of reading plan"
"Read Joshua 3:1-17 (Apr 28)","Bible Reading","normal","2026-04-28","Day 60 of reading plan"
"Read Joshua 5:13-6:27 (Apr 29)","Bible Reading","normal","2026-04-29","Day 61 of reading plan"
"Read Joshua 7:1-26 (Apr 30)","Bible Reading","normal","2026-04-30","Day 62 of reading plan"
"Read Joshua 10:1-15 (May 1)","Bible Reading","normal","2026-05-01","Day 63 of reading plan"
"Read Joshua 23:1-16 (May 2)","Bible Reading","normal","2026-05-02","Day 64 of reading plan"
"Read Joshua 24:1-31 (May 3)","Bible Reading","normal","2026-05-03","Day 65 of reading plan"
"Read Judges 4:4-24 (May 4)","Bible Reading","normal","2026-05-04","Day 66 of reading plan"
"Read Judges 6:1-40 (May 5)","Bible Reading","normal","2026-05-05","Day 67 of reading plan"
"Read Judges 7:1-25 (May 6)","Bible Reading","normal","2026-05-06","Day 68 of reading plan"
"Read Judges 13:1-25 (May 7)","Bible Reading","normal","2026-05-07","Day 69 of reading plan"
"Read Judges 14:1-20 (May 8)","Bible Reading","normal","2026-05-08","Day 70 of reading plan"
"Read Judges 15:1-20 (May 9)","Bible Reading","normal","2026-05-09","Day 71 of reading plan"
"Read Judges 16:1-21 (May 10)","Bible Reading","normal","2026-05-10","Day 72 of reading plan"
"Read Judges 16:22-31 (May 11)","Bible Reading","normal","2026-05-11","Day 73 of reading plan"
"Read Ruth 1:1-22 (May 12)","Bible Reading","normal","2026-05-12","Day 74 of reading plan"
"Read Ruth 2:1-23 (May 13)","Bible Reading","normal","2026-05-13","Day 75 of reading plan"
"Read Ruth 3:1-18 (May 14)","Bible Reading","normal","2026-05-14","Day 76 of reading plan"
"Read Ruth 4:1-22 (May 15)","Bible Reading","normal","2026-05-15","Day 77 of reading plan"
"Read 1 Samuel 1:1-28 (May 16)","Bible Reading","normal","2026-05-16","Day 78 of reading plan"
"Read 1 Samuel 3:1-21 (May 17)","Bible Reading","normal","2026-05-17","Day 79 of reading plan"
"Read 1 Samuel 8:1-5 (May 18)","Bible Reading","normal","2026-05-18","Day 80 of reading plan"
"Read 1 Samuel 8:6-22 (May 19)","Bible Reading","normal","2026-05-19","Day 81 of reading plan"
"Read 1 Samuel 9:1-21 (May 20)","Bible Reading","normal","2026-05-20","Day 82 of reading plan"
"Read 1 Samuel 10:1-27 (May 21)","Bible Reading","normal","2026-05-21","Day 83 of reading plan"
"Read 1 Samuel 14:1-23 (May 22)","Bible Reading","normal","2026-05-22","Day 84 of reading plan"
"Read 1 Samuel 16:1-13 (May 23)","Bible Reading","normal","2026-05-23","Day 85 of reading plan"
"Read 1 Samuel 17:1-31 (May 24)","Bible Reading","normal","2026-05-24","Day 86 of reading plan"
"Read 1 Samuel 17:32-58 (May 25)","Bible Reading","normal","2026-05-25","Day 87 of reading plan"
"Read 1 Samuel 18:1-30 (May 26)","Bible Reading","normal","2026-05-26","Day 88 of reading plan"
"Read 1 Samuel 20:1-42 (May 27)","Bible Reading","normal","2026-05-27","Day 89 of reading plan"
"Read 1 Samuel 24:1-22 (May 28)","Bible Reading","normal","2026-05-28","Day 90 of reading plan"
"Read 1 Samuel 25:1-42 (May 29)","Bible Reading","normal","2026-05-29","Day 91 of reading plan"
"Read 1 Samuel 28:1-25 (May 30)","Bible Reading","normal","2026-05-30","Day 92 of reading plan"
"Read 2 Samuel 5:1-12 (May 31)","Bible Reading","normal","2026-05-31","Day 93 of reading plan"
"Read 2 Samuel 9:1-13 (Jun 1)","Bible Reading","normal","2026-06-01","Day 94 of reading plan"
"Read 2 Samuel 11:1-27 (Jun 2)","Bible Reading","normal","2026-06-02","Day 95 of reading plan"
"Read 2 Samuel 12:1-25 (Jun 3)","Bible Reading","normal","2026-06-03","Day 96 of reading plan"
"Read 2 Samuel 13:1-19 (Jun 4)","Bible Reading","normal","2026-06-04","Day 97 of reading plan"
"Read 2 Samuel 13:20-39 (Jun 5)","Bible Reading","normal","2026-06-05","Day 98 of reading plan"
"Read 2 Samuel 15:1-37 (Jun 6)","Bible Reading","normal","2026-06-06","Day 99 of reading plan"
"Read 2 Samuel 18:1-18 (Jun 7)","Bible Reading","normal","2026-06-07","Day 100 of reading plan"
"Read 1 Kings 1:5-27 (Jun 8)","Bible Reading","normal","2026-06-08","Day 101 of reading plan"
"Read 1 Kings 1:28-53 (Jun 9)","Bible Reading","normal","2026-06-09","Day 102 of reading plan"
"Read 1 Kings 3:1-15 (Jun 10)","Bible Reading","normal","2026-06-10","Day 103 of reading plan"
"Read 1 Kings 3:16-28 (Jun 11)","Bible Reading","normal","2026-06-11","Day 104 of reading plan"
"Read 1 Kings 6:1-38 (Jun 12)","Bible Reading","normal","2026-06-12","Day 105 of reading plan"
"Read 1 Kings 10:1-13 (Jun 13)","Bible Reading","normal","2026-06-13","Day 106 of reading plan"
